Edge,Count
"(1153280, 82920)",64
"(1153280, 85352)",68
"(1153577, 33895)",13
"(1153577, 503877)",27
"(1153577, 503883)",70
"(1153577, 503893)",91
"(1153853, 108047)",1
"(1153853, 578650)",5
"(1153943, 82920)",29
"(1153943, 85352)",26
"(1153943, 97390)",0
"(1153943, 576257)",2
"(1154176, 33895)",86
"(1154459, 14062)",82
"(1154459, 82920)",31
"(1154459, 85352)",95
"(116552, 40)",11
"(116552, 116553)",56
"(116552, 246618)",83
"(12576, 887)",0
"(12576, 6213)",0
"(12576, 1071981)",0
"(12576, 1104999)",105
"(12576, 1105221)",76
"(12576, 1107674)",127
"(12576, 127033)",142
"(12576, 135130)",111
"(12576, 229635)",26
"(12576, 28290)",38
"(12576, 416455)",82
"(12576, 56112)",152
"(12576, 56119)",121
"(12576, 56709)",27
"(12576, 574710)",130
"(12576, 575795)",0
"(12576, 62718)",94
"(12576, 63832)",122
"(12576, 83725)",81
"(12576, 8875)",0
"(128540, 28287)",73
"(128540, 44455)",136
"(128540, 387795)",135
"(132806, 4584)",0
"(132806, 45599)",94
"(132806, 48766)",44
"(132806, 593260)",86
"(135130, 56115)",72
"(135130, 1105221)",127
"(135130, 416455)",124
"(135130, 574710)",109
"(141342, 35061)",0
"(141342, 40)",2
"(141342, 575292)",22
"(141342, 608191)",55
"(141342, 70970)",78
"(141342, 78511)",0
"(141347, 14062)",77
"(148170, 1128997)",4
"(15670, 12558)",0
"(1688, 1134022)",15
"(1688, 152483)",0
"(1688, 1694)",55
"(1688, 39474)",64
"(1688, 44368)",42
"(1688, 576725)",53
"(1688, 647413)",0
"(1688, 69284)",46
"(1688, 694759)",100
"(1688, 84021)",0
"(1688, 58758)",32
"(175291, 2653)",0
"(175291, 8617)",65
"(175291, 8619)",82
"(175291, 31105)",9
"(175291, 52784)",80
"(178727, 1110546)",60
"(18582, 8875)",0
"(18582, 84021)",26
"(190697, 22229)",0
"(190697, 41714)",19
"(190697, 190698)",54
"(190697, 198443)",96
"(190706, 41714)",120
"(190706, 45605)",103
"(190706, 144212)",120
"(190706, 182094)",93
"(1956, 936)",119
"(1956, 1955)",0
"(1956, 101143)",0
"(1956, 1111899)",54
"(1956, 1118302)",20
"(1956, 1153101)",2
"(1956, 1153150)",15
"(1956, 1817)",0
"(1956, 263486)",17
"(1956, 83449)",0
"(1956, 3828)",48
"(197054, 8872)",118
"(197054, 41714)",84
"(197054, 182093)",0
"(197054, 182094)",53
"(197054, 1125092)",55
"(198443, 13658)",76
"(198443, 119686)",95
"(198443, 190698)",97
"(198653, 1113551)",0
"(198653, 1130539)",0
"(198653, 1152896)",0
"(198653, 3084)",0
"(198653, 887)",0
"(198653, 210871)",6
"(206371, 69284)",134
"(206371, 69296)",69
"(210871, 35061)",0
"(210871, 44514)",0
"(210871, 1128151)",0
"(210871, 1129629)",53
"(210871, 273152)",56
"(210871, 38205)",5
"(210871, 568857)",41
"(210871, 575077)",0
"(210871, 595157)",0
"(210871, 59715)",0
"(210871, 81714)",0
"(210871, 887)",0
"(210871, 210872)",53
"(229635, 8872)",4
"(231249, 1125492)",72
"(248425, 1121398)",0
"(248425, 592975)",3
"(248425, 594387)",74
"(248425, 579008)",111
"(249421, 18313)",0
"(249421, 219446)",98
"(249421, 1127812)",140
"(249421, 567018)",150
"(254923, 1272)",17
"(254923, 108047)",0
"(254923, 444240)",37
"(254923, 415693)",42
"(259702, 82920)",12
"(259702, 640617)",115
"(263279, 3231)",0
"(263279, 8224)",0
"(263279, 84021)",1
"(263279, 1114502)",0
"(263498, 35061)",110
"(263498, 1152761)",80
"(263498, 1153860)",109
"(265203, 887)",0
"(265203, 86359)",69
"(273152, 82920)",27
"(273152, 210872)",130
"(27510, 1110998)",105
"(27510, 1128990)",75
"(27510, 1152143)",65
"(27510, 188318)",72
"(28290, 1104999)",99
"(28290, 1107674)",127
"(28290, 28287)",29
"(28290, 308529)",131
"(28290, 56709)",126
"(28290, 63832)",149
"(286500, 16485)",0
"(286500, 576362)",38
"(287787, 110041)",0
"(287787, 415693)",73
"(287787, 503883)",72
"(287787, 634902)",133
"(287787, 634904)",82
"(287787, 634938)",93
"(287787, 634975)",189
"(287787, 647447)",110
"(28851, 54131)",13
"(28851, 578669)",0
"(28851, 595157)",37
"(289779, 87417)",132
"(289779, 289780)",130
"(289779, 801170)",130
"(289780, 87417)",153
"(289780, 1153784)",75
"(289780, 801170)",129
"(289780, 289781)",150
"(289781, 87417)",159
"(289781, 1153784)",128
"(289781, 801170)",155
"(307015, 82920)",0
"(307015, 1131198)",130
"(307015, 335733)",125
"(307015, 39474)",2
"(307015, 643199)",85
"(335733, 643199)",144
"(33904, 33895)",80
"(33904, 1110546)",23
"(33904, 503893)",85
"(33907, 14062)",20
"(33907, 1134022)",20
"(33907, 593091)",88
"(33907, 593813)",48
"(33907, 97390)",40
"(33907, 97645)",148
"(35061, 32083)",4
"(35061, 1152761)",90
"(35061, 1153860)",48
"(35061, 144701)",22
"(35061, 22229)",11
"(35061, 240791)",64
"(35061, 45605)",84
"(35061, 48766)",0
"(35061, 503871)",115
"(35061, 682815)",6
"(38205, 887)",0
"(38205, 108047)",0
"(38205, 1128997)",0
"(38205, 1129610)",66
"(38205, 1153942)",18
"(38205, 117316)",0
"(38205, 592975)",58
"(38205, 592986)",53
"(38205, 593060)",5
"(38205, 595056)",15
"(38205, 606647)",17
"(38205, 61069)",23
"(387795, 28287)",75
"(387795, 44455)",53
"(415693, 84021)",62
"(41714, 1110515)",0
"(41714, 144212)",105
"(41714, 182094)",115
"(41714, 44455)",76
"(41714, 568857)",103
"(41714, 594047)",30
"(41714, 61069)",0
"(427606, 1131634)",0
"(427606, 1138968)",10
"(427606, 62329)",0
"(44368, 14062)",14
"(46079, 1152569)",0
"(46079, 69284)",78
"(46431, 3231)",9
"(46431, 6334)",20
"(46431, 199571)",0
"(486840, 35852)",3
"(486840, 1128975)",41
"(486840, 595063)",84
"(48766, 1104647)",0
"(48766, 595056)",0
"(503883, 1131374)",110
"(503883, 1154076)",95
"(503883, 577331)",57
"(503883, 646809)",99
"(503883, 646836)",0
"(503883, 646913)",94
"(503883, 647413)",90
"(503883, 647447)",133
"(503893, 134219)",0
"(503893, 646837)",91
"(513189, 82920)",51
"(513189, 1125597)",0
"(513189, 573964)",145
"(513189, 576691)",73
"(513189, 787016)",107
"(54129, 108047)",123
"(54129, 1128291)",59
"(54129, 1128319)",108
"(54129, 1136791)",0
"(54129, 117315)",85
"(54129, 117316)",42
"(54129, 17477)",0
"(54129, 28336)",112
"(54129, 578645)",108
"(54129, 578646)",146
"(54129, 578649)",112
"(54129, 578780)",4
"(54129, 593022)",0
"(54129, 594543)",45
"(54131, 1128982)",0
"(54131, 1153897)",0
"(54131, 141324)",32
"(54131, 243483)",70
"(54131, 459213)",2
"(54131, 459214)",95
"(54131, 578780)",25
"(54131, 593859)",61
"(54131, 593942)",0
"(54131, 59715)",0
"(54131, 66563)",88
"(54131, 66556)",103
"(56119, 56112)",185
"(56119, 56115)",156
"(56119, 1104999)",134
"(56119, 1105221)",134
"(56119, 127033)",136
"(56119, 63832)",116
"(56119, 83725)",172
"(561238, 85352)",103
"(568857, 44455)",52
"(568857, 1129629)",140
"(568857, 1153816)",12
"(568857, 576362)",100
"(573964, 576691)",123
"(573964, 787016)",145
"(573978, 82920)",62
"(573978, 787016)",119
"(574009, 594900)",50
"(574264, 576795)",92
"(574264, 815096)",0
"(574462, 85352)",100
"(575077, 117316)",0
"(575077, 579008)",0
"(575077, 593544)",0
"(575077, 594649)",35
"(575077, 608190)",55
"(575077, 608191)",85
"(575077, 66556)",8
"(575077, 94641)",0
"(575292, 85299)",0
"(575292, 1131734)",0
"(575292, 1138968)",4
"(575331, 98693)",0
"(576725, 576795)",148
"(576795, 1128201)",0
"(578780, 54132)",11
"(579008, 54132)",113
"(579008, 1128943)",5
"(579008, 1128978)",9
"(579008, 593921)",80
"(579008, 594387)",139
"(592973, 592975)",118
"(592973, 592986)",132
"(593091, 85352)",89
"(593091, 97645)",102
"(593091, 152483)",75
"(593091, 593248)",0
"(593105, 22229)",3
"(593105, 94639)",1
"(593105, 592993)",0
"(593240, 227178)",0
"(593240, 578845)",1
"(593240, 593155)",0
"(593240, 1136791)",4
"(593240, 593210)",0
"(593260, 210872)",78
"(593813, 33895)",22
"(593813, 94639)",6
"(594047, 1129629)",21
"(594047, 650834)",0
"(594649, 576257)",4
"(594649, 593201)",0
"(608326, 82920)",38
"(608326, 1131611)",0
"(634902, 634975)",75
"(634904, 634975)",145
"(640617, 85352)",101
"(646809, 8874)",10
"(646809, 1131374)",106
"(646809, 1154076)",64
"(646809, 646913)",119
"(647408, 8865)",82
"(647408, 57119)",1
"(647447, 8874)",10
"(647447, 577331)",72
"(66556, 141324)",73
"(66556, 593859)",108
"(66556, 66563)",66
"(66556, 85352)",13
"(66563, 1123530)",3
"(66563, 96845)",6
"(66563, 66564)",4
"(66805, 509315)",0
"(66805, 82090)",0
"(66805, 89547)",0
"(69284, 56115)",0
"(69284, 58758)",56
"(69284, 69296)",117
"(69296, 178718)",0
"(735303, 78511)",58
"(735303, 735311)",0
"(78511, 575402)",15
"(78511, 9586)",133
"(78511, 78552)",130
"(78511, 78557)",173
"(801170, 87417)",170
"(81722, 81714)",18
"(82098, 3229)",36
"(82098, 82087)",38
"(84021, 82920)",1
"(84021, 1106298)",0
"(84021, 1133047)",0
"(84021, 509233)",0
"(84021, 98698)",140
"(84021, 143323)",0
"(85352, 152483)",42
"(85352, 576691)",0
"(85352, 577086)",0
"(85352, 682815)",0
"(86359, 1133469)",0
"(86359, 1152740)",80
"(86359, 1152944)",81
"(86359, 18834)",105
"(86359, 168332)",0
"(8865, 1129570)",96
"(8865, 395075)",68
"(8865, 608292)",92
"(8865, 785678)",0
"(8865, 8875)",130
"(887, 10796)",0
"(887, 1105033)",80
"(887, 1111304)",0
"(887, 1113614)",48
"(887, 114308)",0
"(887, 134128)",5
"(887, 161221)",5
"(887, 170798)",0
"(887, 17476)",0
"(887, 19045)",8
"(887, 20972)",0
"(887, 28456)",2
"(887, 299195)",8
"(887, 299197)",0
"(887, 334153)",0
"(887, 35490)",0
"(887, 595056)",12
"(887, 6151)",0
"(887, 6213)",0
"(887, 6215)",0
"(887, 64519)",0
"(887, 87363)",66
"(887, 976334)",0
"(98698, 82920)",99
"(40, 1109017)",0
"(40, 1114442)",0
"(1114442, 19621)",0
"(1114442, 262108)",0
"(1114442, 262121)",0
"(1114442, 262178)",0
"(114, 1103315)",12
"(114, 1105394)",100
"(114, 1106112)",0
"(114, 1106172)",0
"(114, 1106406)",26
"(114, 1107455)",27
"(114, 1111052)",26
"(114, 1114125)",101
"(114, 1117942)",74
"(114, 1118245)",0
"(114, 1118332)",0
"(114, 1120170)",0
"(114, 1126029)",10
"(114, 124064)",0
"(114, 128)",10
"(114, 130)",6
"(114, 136665)",65
"(114, 191404)",0
"(114, 193742)",5
"(114, 23258)",7
"(114, 28227)",28
"(114, 28287)",0
"(114, 28350)",0
"(114, 28387)",1
"(114, 28471)",6
"(114, 28485)",21
"(114, 341188)",3
"(114, 38480)",6
"(114, 39403)",35
"(114, 434)",0
"(114, 55968)",0
"(114, 58540)",39
"(114, 6155)",6
"(114, 6170)",1
"(114, 6196)",9
"(114, 6220)",12
"(114, 64484)",55
"(114, 7432)",13
"(114, 755217)",5
"(114, 8213)",0
"(114, 91975)",31
"(114, 976334)",1
"(1103315, 6213)",40
"(1103315, 20526)",59
"(1103315, 20528)",0
"(1103315, 20534)",43
"(1105394, 64484)",80
"(1106112, 1237)",0
"(1106112, 28385)",0
"(1106172, 6214)",0
"(1106172, 38722)",81
"(1106172, 81350)",95
"(1106406, 6169)",23
"(1106406, 6213)",22
"(1106406, 23774)",92
"(1107455, 6213)",43
"(1107455, 20534)",92
"(1107455, 23774)",100
"(1111052, 6163)",120
"(1111052, 6213)",56
"(1111052, 20534)",143
"(1114125, 128)",84
"(1117942, 6213)",28
"(1117942, 341188)",77
"(1118245, 7419)",0
"(1118245, 17201)",64
"(1118245, 32872)",61
"(1118332, 35343)",0
"(1120170, 6215)",8
"(1126029, 6155)",73
"(1126029, 6214)",6
"(1126029, 27623)",0
"(124064, 4584)",0
"(124064, 6213)",10
"(124064, 6214)",7
"(124064, 28542)",0
"(124064, 6163)",63
"(124064, 6220)",118
"(124064, 6224)",112
"(128, 20526)",55
"(128, 39403)",33
"(128, 91975)",94
"(128, 4584)",0
"(128, 6213)",10
"(128, 28487)",0
"(130, 13960)",3
"(130, 345340)",0
"(130, 39403)",38
"(130, 6163)",0
"(130, 36802)",0
"(136665, 23258)",65
"(193742, 4584)",3
"(193742, 6151)",107
"(193742, 6213)",32
"(193742, 1111230)",100
"(193742, 6152)",73
"(23258, 6214)",0
"(23258, 1106052)",80
"(23258, 168410)",39
"(23258, 18251)",65
"(23258, 28485)",84
"(23258, 85299)",0
"(28227, 6213)",13
"(28227, 20526)",133
"(28227, 6169)",91
"(28227, 28350)",125
"(28287, 4584)",0
"(28287, 1106547)",7
"(28287, 1107355)",8
"(28287, 1385)",0
"(28287, 308529)",125
"(28287, 567005)",0
"(28287, 56709)",87
"(28287, 56708)",95
"(28350, 6213)",33
"(28350, 1109957)",85
"(28350, 1113459)",155
"(28350, 1129243)",64
"(28350, 13193)",76
"(28350, 241133)",142
"(28350, 341188)",5
"(28350, 6210)",48
"(28350, 6220)",65
"(28350, 628667)",122
"(28350, 628668)",107
"(28350, 95579)",0
"(28387, 117)",0
"(28387, 6196)",12
"(28387, 6224)",0
"(28387, 1107312)",0
"(28471, 117)",0
"(28471, 6213)",9
"(28471, 91975)",129
"(28471, 89547)",46
"(28485, 6209)",37
"(28485, 6213)",0
"(28485, 168410)",105
"(341188, 117)",0
"(341188, 7419)",0
"(341188, 28491)",0
"(341188, 682666)",0
"(38480, 117)",3
"(38480, 6209)",0
"(38480, 6213)",0
"(38480, 6214)",4
"(38480, 1104182)",0
"(39403, 117)",0
"(434, 267003)",0
"(434, 4649)",20
"(434, 6213)",0
"(434, 8703)",43
"(434, 10798)",2
"(55968, 6213)",0
"(55968, 6385)",56
"(55968, 27631)",0
"(55968, 892139)",43
"(58540, 6196)",52
"(58540, 6213)",14
"(58540, 181782)",7
"(6155, 4584)",1
"(6155, 6151)",81
"(6155, 6213)",10
"(6155, 6214)",25
"(6170, 117)",3
"(6196, 4584)",0
"(6196, 1120731)",2
"(6196, 1153056)",0
"(6196, 81350)",0
"(6196, 976334)",51
"(6196, 6214)",0
"(6220, 6213)",33
"(6220, 134128)",75
"(6220, 6163)",116
"(6220, 6224)",91
"(6220, 28412)",0
"(7432, 23774)",73
"(755217, 910)",0
"(755217, 6213)",0
"(755217, 13193)",80
"(755217, 13195)",0
"(8213, 6209)",1
"(8213, 28487)",18
"(91975, 6213)",7
"(91975, 89547)",34
"(91975, 1113459)",94
"(976334, 4584)",0
"(976334, 6216)",0
"(117, 1109581)",0
"(117, 149669)",51
"(117, 17476)",0
"(117, 189708)",70
"(117, 206259)",0
"(117, 28202)",0
"(117, 28278)",0
"(117, 32872)",0
"(117, 33013)",39
"(117, 6214)",0
"(117, 75674)",0
"(1109581, 1919)",0
"(1109581, 7419)",0
"(1109581, 24530)",0
"(1109581, 156794)",0
"(149669, 6214)",4
"(149669, 39890)",0
"(149669, 589923)",0
"(149669, 189708)",60
"(17476, 6385)",142
"(17476, 13269)",0
"(17476, 1103162)",49
"(17476, 1105033)",45
"(17476, 1122425)",0
"(17476, 1129208)",0
"(17476, 170338)",0
"(17476, 28456)",16
"(17476, 33013)",69
"(17476, 682666)",27
"(17476, 892139)",41
"(206259, 28487)",0
"(206259, 28542)",0
"(28202, 6163)",12
"(28202, 6213)",9
"(28202, 25791)",0
"(28202, 1114629)",0
"(28202, 1128267)",105
"(28202, 325497)",0
"(28278, 910)",0
"(28278, 4584)",0
"(28278, 6213)",0
"(28278, 6214)",5
"(28278, 1107312)",0
"(32872, 17201)",130
"(32872, 17208)",74
"(33013, 18777)",0
"(6214, 4584)",0
"(6214, 6151)",0
"(6214, 6213)",0
"(6214, 1105764)",4
"(6214, 1115886)",0
"(6214, 1130600)",34
"(6214, 1152740)",0
"(6214, 13960)",0
"(6214, 188471)",21
"(6214, 27631)",0
"(6214, 28447)",0
"(6214, 345340)",5
"(6214, 399339)",28
"(6214, 6184)",0
"(6214, 6215)",8
"(6214, 6224)",17
"(6214, 628500)",30
"(6214, 6378)",0
"(6214, 93320)",0
"(6214, 95589)",0
"(6214, 97892)",0
"(75674, 27623)",34
"(75674, 1109957)",0
"(75674, 686015)",65
"(20526, 6169)",95
"(20526, 6213)",31
"(20526, 1118092)",0
"(13960, 1481)",0
"(13960, 6213)",8
"(13960, 13966)",0
"(345340, 6224)",29
"(345340, 18777)",42
"(345340, 116790)",97
"(288, 1118092)",0
"(288, 36167)",0
"(288, 40151)",0
"(1118092, 28254)",0
"(36167, 4584)",0
"(36167, 20528)",3
"(36167, 70520)",36
"(424, 1135125)",0
"(424, 218666)",0
"(424, 47684)",0
"(424, 77758)",0
"(424, 197452)",0
"(1135125, 1272)",0
"(1135125, 27543)",0
"(47684, 47682)",0
"(47684, 68115)",0
"(267003, 75121)",0
"(463, 58454)",0
"(58454, 144679)",11
"(58454, 87417)",0
"(504, 1102364)",70
"(504, 1112650)",0
"(504, 506)",125
"(504, 89416)",95
"(1102364, 506)",130
"(506, 1106546)",90
"(506, 89416)",130
"(89416, 1106546)",151
"(89416, 1153024)",36
"(89416, 137130)",87
"(89416, 65074)",41
"(1106546, 24476)",45
"(10796, 6213)",0
"(10796, 1110947)",0
"(10796, 1113934)",0
"(10796, 1135358)",0
"(10796, 1153148)",0
"(10796, 180373)",0
"(10796, 20942)",0
"(10796, 30895)",0
"(10796, 31097)",0
"(10796, 417017)",0
"(10796, 46536)",0
"(10796, 601567)",0
"(10796, 6217)",0
"(10796, 8699)",0
"(10796, 93320)",0
"(10796, 10798)",0
"(1111304, 4329)",50
"(1111304, 6213)",25
"(1111304, 105899)",52
"(1111304, 195361)",60
"(1113614, 6213)",94
"(1113614, 134128)",114
"(114308, 63835)",30
"(134128, 6163)",67
"(134128, 6213)",84
"(134128, 1113182)",123
"(134128, 1117760)",118
"(134128, 218410)",91
"(161221, 1365)",0
"(161221, 6213)",1
"(161221, 1153922)",0
"(170798, 1959)",0
"(170798, 656231)",0
"(19045, 593210)",50
"(19045, 593328)",80
"(19045, 593329)",80
"(19045, 87363)",120
"(19045, 195792)",70
"(20972, 1116181)",0
"(20972, 35863)",10
"(28456, 57119)",0
"(28456, 61069)",0
"(28456, 101263)",0
"(299195, 6152)",81
"(299195, 6213)",23
"(299197, 4330)",0
"(299197, 6213)",5
"(299197, 85299)",0
"(299197, 85324)",0
"(334153, 216877)",80
"(334153, 216878)",120
"(334153, 1117618)",85
"(35490, 1104031)",0
"(35490, 1116410)",75
"(35490, 64271)",115
"(35490, 95188)",116
"(595056, 6213)",0
"(595056, 57119)",0
"(6151, 4584)",11
"(6151, 1106547)",72
"(6151, 1107355)",25
"(6151, 1130567)",101
"(6151, 1385)",39
"(6151, 6152)",141
"(6151, 6213)",43
"(6213, 4584)",0
"(6213, 1105764)",2
"(6213, 1106547)",39
"(6213, 1106966)",117
"(6213, 1107355)",15
"(6213, 1108329)",0
"(6213, 1109957)",35
"(6213, 1111230)",46
"(6213, 1113182)",52
"(6213, 1113459)",161
"(6213, 1116347)",15
"(6213, 1117760)",76
"(6213, 1120020)",24
"(6213, 1122425)",0
"(6213, 1123553)",0
"(6213, 1128267)",75
"(6213, 1129096)",0
"(6213, 1129243)",39
"(6213, 1130567)",56
"(6213, 13193)",47
"(6213, 1385)",1
"(6213, 153598)",37
"(6213, 17208)",0
"(6213, 195361)",70
"(6213, 20534)",27
"(6213, 218410)",57
"(6213, 23774)",51
"(6213, 241133)",106
"(6213, 293271)",0
"(6213, 353541)",0
"(6213, 35863)",0
"(6213, 399339)",25
"(6213, 6163)",10
"(6213, 6184)",0
"(6213, 6210)",20
"(6213, 6215)",28
"(6213, 6224)",4
"(6213, 628667)",79
"(6213, 628668)",77
"(6213, 628815)",90
"(6213, 672064)",0
"(6213, 7419)",8
"(6215, 6224)",72
"(64519, 154134)",2
"(64519, 37483)",5
"(64519, 63835)",14
"(87363, 593328)",90
"(87363, 593329)",90
"(906, 1103979)",65
"(906, 1105344)",88
"(906, 1114352)",0
"(906, 1136397)",5
"(906, 1140040)",66
"(906, 34355)",110
"(906, 910)",50
"(1103979, 34315)",0
"(1103979, 34355)",109
"(1105344, 910)",8
"(1105344, 24966)",36
"(1105344, 63549)",90
"(1114352, 1365)",0
"(1114352, 4330)",0
"(1114352, 260121)",0
"(1136397, 4330)",0
"(1136397, 4335)",0
"(1136397, 25702)",4
"(1136397, 240321)",0
"(1140040, 910)",46
"(1140040, 370366)",0
"(34355, 910)",71
"(910, 1104379)",60
"(910, 1105530)",70
"(910, 1108834)",7
"(910, 1110520)",65
"(910, 1114118)",0
"(910, 1116569)",0
"(910, 1118848)",55
"(910, 1120858)",0
"(910, 1122460)",0
"(910, 1126044)",0
"(910, 1129111)",70
"(910, 1135137)",4
"(910, 1152194)",0
"(910, 12439)",9
"(910, 12946)",0
"(910, 131042)",0
"(910, 13136)",70
"(910, 160705)",26
"(910, 227286)",57
"(910, 242637)",0
