ID,Title
4637,Learning to model sequences generated by switching distributions.
4649,A knowledge-intensive approach to learning relational concepts.
4660,Context-sensitive learning methods for text categorization.
4804,Toward efficient agnostic learning.
4878,"""Cooperative Case-Based Reasoning"","
4983,A computational environment for exhaust nozzle design.
5038,Using and com-bining predictors that specialize.
5055,W.S. Boosting the Margin: A New Explanation for the Effectiveness of Voting Methods.
5062,A Memory Model for Case Retrieval by Activation Passing.
5064,Case Retrieval Nets: Basic ideas and extensions. accepted for:
5069,Applying Case Retrieval Nets to diagnostic tasks in technical domains. accepted for:
5075,An investigation of marker-passing algorithms for analogue retrieval.
5086,Bayes factors and model uncertainty.
5194,"""For neural networks, function determines form,"""
5348,(1992) Feature extraction using an unsupervised neural network.
5454,"""A self-organizing multiple-view representation of 3-D objects,"""
5462,"Prior, stabilizers and basis functions : from regularization to radial, tensor and additive splines."
5600,Derivation replay for partial-order planning.
5869,Observation on cortical mechanisms for object recognition and learning.
5959,Selection of relevant features in machine learning.
5966,Cost-Sensitive Classification: Empirical Evaluation of a Hybrid Genetic Decision Tree Induction Algorithm.
6125,Boosting a Weak Learning Algorithm by Majority.
6130,Local error bars for nonlinear regression and time series prediction.
6151,Strategy Learning with Multilayer Connectionist Represent ations.
6152,Reinforcement Learning with Modular Neural Networks for Control.
6155,On the Computational Economics of Reinforcement Learning.
6163,Generalization in reinforcement learning: Safely approximating the value function.
6169,Improving elevator performance using reinforcement learning.
6170,SP (1996). Improving policies without measuring merits.
6184,"""Forward Models: Supervised Learning with a Distal Teacher,"""
6196,"""The Parti-game Algorithm for Variable Resolution Reinforcement Learning in Multidimensional State Spaces,"""
6209,"Transfer of Learning by Composing Solutions of Elemental Sequential Tasks,"
6210,Reinforcement Learning with Soft State Aggregation.
6213,Learning to predict by the methods of temporal differences.
6214,"Integrated Architectures for Learning, Planning and Reacting Based on Approximating Dynamic Programming,"
6215,"""Planning by Incremental Dynamic Programming."""
6216,Generalization in reinforcement learning: Successful examples using sparse coarse coding.
6217,"R.S., & Whitehead, S.D. (1993). Online learning with random representations."
6220,Issues in using function approximation for reinforcement learning.
6224,Tight Performance Bounds on Greedy Poli cies Based on Imperfect Value Functions.
6238,Autonomous Learning from the Environment.
6311,Addressing the Selective Superiority Problem: Automatic Algorithm/Model Class Selection.
6318,Rule induction and instance-based learning: A unified approach.
6334,Prototype and feature selection by sampling and random mutation hill climbing algorithms.
6343,"A Review and Comparative Evaluation of Feature Weighting Methods for Lazy Learning Algorithms,"
6344,"Heterogeneous Radial Basis Functions,"
6346,"Instance-Based Learning with Genetically Derived Attribute Weights,"
6378,Learning to coordinate without sharing information.
6385,Multi-agent reinforcement learning: independent vs.
6539,Quantifying prior determination knowledge using PAC learning model.
6639,Stochastic Inductive Logic Programming.
6741,Learning concepts by asking questions. In R.S.
6767,Generalizing from case studies: A case study.
6771,Statistical tests for comparing supervised classification learning algorithms.
6775,Statistical evaluation of neural network experiments: Minimum requirements and current practice.
6782,"Oblivious decision trees, graphs and top-down pruning."
6784,A study of experimental evaluations of neural network learning algorithms: Current research practice.
6786,Bayesian model selection in social research.
6814,Factorial hidden Markov models.
6818,Exploiting tractable substructures in intractable networks.
6898,"""Bootstrap Confidence Intervals for Smoothing Splines and Their Comparison to Bayesian Confidence Intervals""."
6910,"Smoothing spline ANOVA for exponential families, with application to the Wisconsin Epidemiological Study of Diabetic Retinopathy."
6913,On the convergence properties of the EM algorithm.
6917,"""Covering vs. Divide-and-Conquer for Top-Down Induction of Logic Programs"","
6923,Inductive Constraint Logic.
6925,Solving the multiple-instance problem with axis-parallel rectangles.
6935,Inverse Entailment and Progol.
6939,Learning first-order definitions of functions.
6941,Multi-class problems and discretization in ICL (extended abstract).
7022,"Modularity in a connectionist model of morphology acquisition,"
7032,"Tibshirani (1994) Combining Estimates in Regression and Classification,"
7041,Bootstraping with Noise: An Effective Regularization Technique.
7047,"Learning one more thing,"
7272,Ocular dominance and patterned lateral connections in a self-organizing model of the primary visual cortex.
7276,"Self-organization and segmentation with laterally connected maps of spiking neurons. In Workshop on Self-Organizing Maps,"
7296,Modeling cortical plasticity based on adapting lateral interaction.
7297,"Self-organization and functional role of lateral connections and multi size receptive fields in the primary visual cortex. Neural Processing Letters,"
7419,Neuro-dynamic Programming.
7430,Multi-time models for temporally abstract planning.
7432,How to dynamically merge markov decision processes.
7532,"""Remarks on Finite Gain Stabilizability of Linear Systems Subject to Input Saturation,"""
7537,Global stabilization of linear systems with bounded feedback.
7867,Ellman. Knowledge-based re-engineering of legacy programs for robustness in automated design.
8079,Bias plus variance decomposition for zero-one loss functions.
8213,Robust reinforcement learning in motion planning.
8224,An empirical comparison of selection measures for decision-tree induction.
8581,Learning factorial codes by predictability minimization.
8591,Limits of control flow on parallelism.
8594,"Limits of Instruction-Level Parallelism,"
8617,"""A framework of combining symbolic and neural learning,"""
8619,An Anytime Approach to Connectionist Theory Refinement: Refining the Topologies of Knowledge-Based Neural Networks.
8687,The difficulties of learning logic programs with cut.
8696,The complexity of theory revision.
8699,Theory revision in fault hierarchies.
8703,Theory refinement combining analytical and empirical methods.
8766,Resource Spackling: A framework for integrating register allocation in local and global schedulers.
8821,"`A case study in machine learning\',"
8832,"`The possible contribution of AI to the avoidance of crises and wars: Using CBR methods with the KOSIMO database of conflicts\',"
8865,"""Using genetic algorithms to explore pattern recognition in the immune system,"""
8872,Efficient reinforcement learning through symbiotic evolution.
8874,A cooperative coevolutionary approach to function optimization.
8875,"""A Coevolutionary Approach to Learning Sequential Decision Rules"","
8961,Machine learning research: Four current directions.
9513,Long. On the complexity of learning from drifting distributions.
9515,Tracking drifting concepts by minimizing disagreements.
9559,A theory and methodology of machine learning.
9581,"De-Noising by soft thresholding,"
9586,"Adaptive Simulated Annealing (ASA),"
9708,"""Acquiring Recursive Concepts with Explanation-Based Learning,"""
9716,A formalization of explanation-based macro-operator learning.
10169,Dietterich (1991). Learning with Many Irrelevant Features.
10174,Knowing what doesn\'t matter: Exploiting (intentionally) omitted superfluous data.
10177,"Learning in the presence of malicious errors,"
10183,"""Concept learning and Heuristic Classification in Weak-Theory Domains,"""
10186,Learning default concepts.
10430,Rules and precedents as complementary warrants.
10435,Improving rule-based systems through case-based reasoning.
10531,Using dirichlet mixture priors to derive hidden Markov models for protein families.
10793,Learning finite state automata using local distinguishing experiments.
10796,Incremental induction of decision trees.
10798,"""Learning structural descriptions from examples."""
10981,"Acquiring the mapping from meaning to sounds. Connection Science,"
11093,"""Factorial learning and the EM algorithm"","
11148,Exploiting Choice: Instruction Fetch and Issue on an implementable Simultaneous Multithread-ing Processor.
11325,"""On Learning Multiple Descriptions of a Concept,"""
11326,What should be minimized in a decision tree?.
11335,Concept learning and the problem of small disjuncts.
11337,An Empirical Analysis of the Benefit of Decision Tree Size Biases as a Function of Concept Distribution.
11339,Exploring the decision forest: An empirical investigation of Occam\'s razor in decision tree induction.
11342,"On Pruning and Averaging Decision Trees,"
12155,Exact learning of -DNF formulas with malicious membership queries.
12158,Slonim. Learning monotone DNF with an in complete membership oracle.
12165,Slonim. The power of team exploration: Two robots can learn unlabeled directed graphs.
12169,Learning with unreliable boundary queries.
12182,"Warmuth ""How to use expert advice"","
12194,Learning from a consistently ignorant teacher.
12195,Efficient learning of typical finite automata from random walks.
12197,"Can pac learning algorithms tolerate random attribute noise? Algorithmica,"
12198,Exact identification of circuits using fixed points of amplification functions.
12199,Learning k-term DNF formulas with an incomplete membership oracle.
12210,Efficient distribution-free learning of probabilistic concepts.
12211,Learning from a population of hypotheses.
12238,Exactly learning automata with small cover time.
12247,Learning with queries but incomplete information.
12275,P (1997). Neural models for part whole hierarchies.
12330,"""Recognizing handwritten digits using mixtures of linear models"","
12337,A unified gradient-descent/clustering algorithm architecture for finite state machine induction.
12347,"""First-order vs. second-order single layer recurrent neural networks,"""
12350,Cryptographic limitations on learning boolean formulae and finite automata.
12359,Pruning recurrent neural networks for improved generalization performance.
12439,Improving the performance of radial basis function networks by learning center locations.
12558,"A trade network game with endogenous partner selection, Economic Report No."
12576,"""Learning sequential decision rules using simulation models and competition,"""
12631,"Smoothing spline ANOVA with component-wise Bayesian ""confidence intervals""."
12638,"Soft classification, a.k.a. risk estimation, via penalized log likelihood and smoothing spline analysis of variance."
12946,Supervised learning from incom plete data via an EM approach.
12960,Active learning with committees for text categorization.
13024,A hardware mechanism for dynamic reordering of memory references.
13136,(1995) Fast perceptual learning in hyperacuity.
13193,Reinforcement learning algorithm for partially observable Markov decision problems.
13195,Planning and acting in partially observable stochastic domains.
13205,"Mark (1992), Two Methods for Hierarchy Learning in Reinforcement Environments,"
13208,"Evolutionary principles in self-referential learning, or on learning how to learn: the meta-meta-..."
13212,Discovering solutions with low kolmogorov complexity and high generalization capability.
13213,"A general method for multi-agent reinforcement learning in unrestricted environments. In Adaptation, Coevolution and Learning in Multiagent Systems:"
13269,Monte-carlo reinforcement learning in non-Markovian decision problems.
13652,Brain-Structured Networks That Perceive and Learn.
13654,Coordination and Control Structures and Processes: Possibilities for Connectionist Networks.
13656,"Some Biases For Efficient Learning of Spatial, Temporal, and Spatio-Temporal Patterns."
13658,Generative Learning Structures for Generalized Connectionist Networks.
13686,"A Framework for Combining Symbolic and Neural Learning. In: Artificial Intelligence and Neural Networks: Steps Toward Principled Integration. Honavar,"
13717,Learning se-mantic grammars with constructive inductive logic programming.
13885,Learning controllers for industrial robots.
13917,Designing neural networks for adaptive control.
13960,Using a case-base of surfaces to speed-up reinforcement learning.
13966,A teaching method for memory-based control.
13972,Finding structure in reinforcement learning.
13982,Long. On-line learning with linear loss constraints.
14062,A formal analysis of the role of multi--point crossover in genetic algorithms.
14083,"`Data Reconciliation and Gross Error Detection for Dynamic Systems\',"
14090,",`Subregion-Adaptive Integration of Functions having a Dominant Peak\',"
14428,Belief revision in probability theory.
14429,From inheritance relation to non-axiomatic logic.
14430,Non-axiomatic reasoning system (version 2.2).
14431,An unified treatment of uncertainties.
14529,Concept learning and flexible weighting.
14531,Context-sensitive feature selection for lazy learners.
14545,"""A patient-adaptive neural network ECG patient monitoring algorithm"","
14549,Recognition and exploitation of contextual clues via incremental meta-learning.
14807,Exponentially many local minima for single neurons.
15076,An improved training algorithm for support vector machines.
15429,"""A General Lower Bound on the Number of Examples Needed for Learning,"""
15431,Long. A generalization of Sauer\'s lemma.
15670,Iterated prisoner\'s dilemma with choice and refusal of partners.
15889,Structural similarity as guidance in case-based design.
15892,"Automatic Indexing, Retrieval and Reuse of Topologies in Complex Designs."
15984,"""On the Markov equivalence of chain graphs, undirected graphs, and acyclic digraphs"","
15987,(1993) Linear dependencies represented by chain graphs.
16008,Graphical Models in Applied Multivariate Statistics.
16437,"""Learning context-free grammars: Limitations of a recurrent neural network with an external stack memory,"""
16451,"Using Recurrent Neural Networks to Learn the Structure of Interconnection Networks,"
16461,"""On the ap plicability of neural network and machine learning methodologies to natural language processing,"""
16470,"Giles P.C., and Collingwood, ""Finite state machines and recurrent neural networks -automata and dynamical systems approaches"","
16471,"""Constructing deterministic finite-state automata in recurrent neural networks"","
16474,"""Rule checking with recurrent neural networks,"""
16476,"Extraction of rules from discrete-time recurrent neural networks. Neural Networks,"
16485,On the Computational Power of Neural Nets.
16819,Markov chain Monte Carlo convergence diagnostics: A comparative review.
16843,"""Sampling from Multimodal Distributions Using Tempered Transitions,"""
17201,Scaling Up.
17208,Approximating optimal policies for partially observable stochastic domains.
17242,Detecting features in spatial point processes with clutter via model-based clustering.
17363,Logistic Response Projection Pursuit Regression.
17476,Markov games as a framework for multi-agent reinforcement learning.
17477,Co-evolving soccer softbot team coordination with genetic programming. In RoboCup-97: The first robot world cup soccer games and conferences.
17488,Incremental self-improvement for lifetime multi-agent reinforcement learning.
17798,Using Decision Trees to Improve Case-based Learning.
17811,Genetic algorithms as a tool for feature selection in machine learning.
17821,A game theoretic approach to moving horizon control.
18251,Lazy acquisition of place knowledge.
18313,Towards planning: Incremental investigations into adaptive robot control.
18532,"A remark on robust stabilization of general asymptotically controllable systems,"
18536,"""A `universal\' construction of Artstein\'s the orem on nonlinear stabilization,"""
18582,"""Knowledge-Based Genetic Learning"","
18615,Learning Trees and Rules with Set-valued Features.
18619,Heterogeneous uncertainty sampling for supervised learning.
18770,A guide to the literature on learning probabilistic networs from data.
18773,Build ing classifers using Bayesian networks.
18774,On the sample complexity of learning Bayesian networks.
18777,A tutorial on learning Bayesian networks.
18781,Learning to reason.
18785,On the hardness of approximate rea soning.
18811,Comparing Bayesian model class selection criteria by discrete finite mixtures.
18812,Constructing bayesian finite mixture models by the EM algorithm.
18815,Probabilistic instance-based learning.
18832,Reinforcement Learning: A Survey.
18833,Experiments on adding memory to XCS.
18834,A Study on the Generalization Capabilities of XCS.
19045,"""Automated WYSIWYG Design of both the topology and component val 223 ues of electrical circuits using genetic programming,"""
19231,"Query by Committee,"
19621,Self-organized formation of typologically correct feature maps.
19697,Keeping neural networks simple by minimizing the description length of the weights.
20178,Discovery of Physical Principles from Design Experiences.
20179,Use of Mental Models for Constraining Index Learning in Experience-Based Design.
20180,Learning indices for schema selection.
20193,The Structure-Mapping Engine: Algorithms and Examples.
20526,"""Self-improving factory simulation using continuous-time average reward reinforcement learning"" in Proceedings of the Fourteenth International Machine Learning Conference.,"
20528,Efficient Locally Weighted Polynomial Regression.
20534,"Reinforcement Learning for Job-Shop Scheduling,"
20584,Multivariate versus univariate decision trees.
20592,Learning non-linearly separable boolean functions with linear threshold unit trees and madaline-style networks.
20593,Generating Neural Networks Through the Induction of Threshold Logic Unit Trees (Extended Abstract).
20601,Learning conjunctions of Horn clauses.
20602,Learning Boolean read-once formulas with arbitrary symmetric and constant fan-in gates.
20821,"Top-down induction of logical decision trees,"
20833,Efficient specific-to-general rule induction.
20850,"Compression-Based Feature Subset Selection,"
20857,The ilp description learning problem: Towards a genearl model-leve definition of data mining in ilp.
20920,Comparing predictive inference methods for discrete domains.
20923,Bayesian Case-Based Reasoning with Neural Networks. Pp.
20924,"Massively parallel case-based reasoning with probabilistic similarity metrics. In Topics in Case-Based Reasoning,"
20942,(in press). Decision tree induction based on efficient tree restructuring.
20972,Exploratory Learning in the Game of GO: Initial Results.
22229,"""The Evolution of Agents that Build Mental Models and Create Simple Plans Using Genetic Programming,"""
22241,Simultaneous evolution of programs and their control structures.
22386,Paying attention to the right things: Issues of focus in case-based creative design.
22431,An investigation of noise-tolerant relational concept learning algorithms.
22563,"""A Comparative Study of ID3 and Backpropagation for English Text-to-Speech Mapping,"""
22564,Pronouncing Names by a Combination of Rule-Based and Case-Based Reasoning.
22566,"""A Comparison of ANAPRON with Seven Other Name-pronunciation Systems,"""
22835,Vuurpijl and Th.E. Schouten. A Scalable Performance Prediction Model for Parallel Neural Network Simulations.
22869,Applying case-based reasoning to control in robotics.
22874,A similarity-based retrieval tool for software repositories.
22875,Inductive learning and case-based reasoning.
22876,Supporting flexibility. a case-based reasoning approach.
22883,On the informativeness of the DNA promoter sequences domain theory.
22886,Continuous case-based reasoning.
23069,On the logic of iterated belief revision.
23070,"A Knowledge-Based Framework for Belief Change, Part II: Revision and Update."
23116,Bayesian Methods for Adaptive Models.
23258,"""Exploration and model building in mobile robot domains"","
23448,Data exploration using self-organizing maps.
23502,A distributed feature map model of the lexicon.
23507,"""Natural language processing with modular neural networks and distributed lexicon."""
23545,Towards concept formation grounded on perception and action of a mobile robot.
23546,Learning action-oriented perceptual features for robot navigation.
23738,A Theory of Learning Classification Rules.
23774,High-Performance Job-Shop Scheduling With A Time-Delay TD() Network.
24043,Human Face Detection in Visual Scenes.
24476,Representing preferences as ceteris paribus comparatives.
24530,Approximating value trees in structured dynamic programming.
24966,A practical Bayesian framework for backpropagation networks.
24974,Rasmussen (1996). Evaluation of Gaussian Processes and Other Methods for Nonlinear Regression.
25181,Bilinear separation of two sets in n-space.
25184,Street. Feature selection via mathematical programming.
25413,Simultaneous Multithreading: A Platform for Next-Generation Processors.
25702,Nonlinear Prediction of Chaotic Time Series.
25772,Flexible metric nearest neighbor classification.
25791,"Adapting Bias by Gradient Descent: An Incremental Version of Delta-Bar-Delta,"
25794,Is Learning the n-th Thing Any Easier Than Learning the First? in:
25805,"Weakly Learning DNF and Characterizing Statistical Query Learning Using Fourier Analysis,"
26850,Determining mental state from EEG signals using neural networks.
27174,Mathematical programming in neural networks.
27199,Learning unions of boxes with membership and equivalence queries.
27203,"""The Power of Self-Directed Learning"","
27230,Enhancing model-based learning for its application in robot navigation.
27241,Error Reduction through Learning Multiple Descriptions.
27243,"An Empirical Comparison of Voting Classification Algorithms: Bagging, Boosting, and Variants."
27246,"Working Notes of AAAI Workshop on Integrating Multiple Learned Models for Improving and Scaling Machine Learning Algorithms (available at http://www.cs.fit.edu/~imlm/papers.html), Portland,"
27249,"Machine Learning Bias, Statistical Bias, and Statistical Variance of Decision Tree Algorithms."
27250,Why does Bagging Work? a Bayesian Account and its Implications.
27510,Measuring the difficulty of specific learning problems.
27514,Statistical biases in backpropagation learning.
27530,Learning symbolic rules using artificial neural networks.
27531,Using sampling and queries to extract rules from trained neural networks.
27535,Combining neural and symbolic learning to revise probabilistic rule bases.
27543,"""Extracting rules from artificial neural networks with distributed representations"","
27606,Statistical queries and faulty PAC oracles.
27612,On the sample complexity of weak learning.
27623,Neural network exploration using optimal experiment design.
27627,"Information-Based Objective Functions for Active Data Selection,"
27631,"""Robot Juggling: An Implementation of Memory-Based Learning,"""
27632,Reinforcement driven information acquisition in nondeterministic environments.
27895,Instance-based learning algorithms.
28026,"`Case Retrieval Nets applied to large case bases\',"
28202,Baird (1995). Residual algorithms: Reinforcement learning with function approximation.
28227,Reinforcement learning methods for continuous time markov decision problems.
28230,Decision-theoretic case-based reasoning.
28249,Truncating temporal differences: On the efficient implementation of TD() for reinforcement learning.
28254,"""Active Learning with Statistical Models,"""
28265,Using Introspective Reasoning to Select Learning Strategies.
28267,Choosing learning strategies to achieve learning goals.
28278,Reinforcement learning for planning and control.
28287,Robot shaping: Developing autonomous agents though learning.
28290,Genetic-based machine learning and behavior based robotics: a new syntesis.
28336,Evolving behavioral strategies in predators and prey.
28350,On the convergence of stochastic iterative dynamic programming algorithms.
28359,Associative reinforcement learning: A generate and test algorithm.
28385,A distributed reinforcement learning scheme for network routing.
28387,Pack Kaelbling. On the complexity of solving Markov decision problems.
28389,Creating advice-taking reinforcement learners.
28412,Memory-based learning for control.
28447,"""Multistrategy Learning in Reactive Control Systems for Autonomous Robotic Navigation,"""
28456,A competitive approach to game learning.
28471,Markov decision pro cesses in large state spaces.
28473,Adaptive load balancing: A study in multi-agent learning.
28485,"The efficient learning of multiple task sequences,"
28487,Learning to Solve Markovian Decision Processes.
28489,"Learning without state-estimation in Partially Observable Markovian Decision Processes,"
28491,Reinforcement learning with replacing eligibility traces.
28504,TD models: modeling the world at a mixture of time scales.
28542,Analysis of some incremental variants of policy iteration: First steps toward understanding actor-critic learning systems.
28632,Universal portfolios with and without transaction costs.
28640,Predicting a binary sequence almost as well as the optimal biased coin.
28641,"Game theory, on-line prediction and boosting."
28649,On-line learning of linear functions.
28674,"A theory of unsupervised speedup learning,"
28851,"Oppacher (1994). Program search with a hierarchical variable length representation: genetic programming, simulated annealing and hill climbing,"
28957,Operations for learning with graphical models.
28964,Robust learning with missing data.
29492,Induction of multiscale temporal structure.
29708,Diffusion of credit in markovian models.
29723,Boltzmann chains and hidden Markov models.
29738,"""An Optimum Decision Rule for Pattern Recognition,"""
30817,"""Analysis of Linsker\'s simulations of Hebbian rules,"""
30895,Committees of decision trees.
30901,"Lookahead and Pathology in Decision Tree Induction,"
30934,"Selective Sampling Using the Query by Committee Algorithm,"
30973,Plate. Holographic Reduced Representations.
31043,"FONN: Combining first order logic with connectionist learning,"
31055,Extracting Comprehensible Models from Trained Neural Networks.
31083,Data Minining using MLC++: A Machine Learning Library in C++.
31097,What DaimlerBenz has learned as an industrial partner from the machine learning project Statlog. Working Notes for Applying Machine Learning in Practice:
31105,Learning from bad data.
31336,The megaprior heuristic for discovering protein sequence patterns.
31349,Motif-based hidden Markov models of protein families.
31353,Hidden Markov models in computational biology: Applications to protein modeling.
31479,Induction of Recursive Bayesian Classifiers In Proc.
31483,"""Induction of selective bayesian classifiers,"""
31489,I.M.: Adapting to unknown smoothness via wavelet shrinkage.
31769,"Learning Visual Schemas in Neural Networks for Object Recognition and Scene Analysis,"
31863,Unsupervised Learning using MML.
31927,A generalized hidden Markov model for the recognition of human genes in DNA.
31932,A decision tree system for finding genes in dna.
32083,Back propagation is sensitive to initial conditions.
32260,On-line portfolio selection using multiplicative updates.
32276,Extracting support data for a given task.
32688,(1994) Classification using Hierarchical Mixtures of Experts.
32698,Ensemble learning for hidden Markovmodels.
32872,Acting under uncertainty: Discrete bayesian models for mobile-robot navigation.
33013,Learning conventions in multiagent stochastic domains using likelihood estimates.
33231,Probabilistic independence networks for hidden Markov probability models.
33301,The Design and Implementation of a Case based Planning Framework within a Partial Order Planner.
33303,Design and Implementation of a Replay Framework based on a Partial order Planner.
33325,"Applying Winnow to Context Sensitive Spelling Correction,"
33412,Learning to predict reading frames in E. coli DNA sequences.
33818,"Statistical mechanics of nonlinear nonequilibrium financial markets: Applications to optimized trading,"
33823,"Statistical mechanics of neocortical interactions. EEG dispersion relations,"
33895,"A promising genetic algorithm approach to job-shop scheduling, rescheduling, and open-shop scheduling problems."
33904,Stochastic hillclimbing as a baseline method for evaluating genetic algorithms.
33907,A genetic algorithm for the set partitioning problem.
34082,Reference classes and multiple inheritances.
34257,A self-adjusting dynamic logic module.
34263,An Efficient Transformation for Implementing Two-Layer FeedForward Neural Networks.
34266,"A VLSI Implementation of a Parallel, Self-Organizing Learning Model,"
34315,(1997) Gaussian pro cesses for Bayesian classification via hybrid Monte Carlo.
34355,N.T. (1995) Prior Knowledge and the Creation of Virtual Examples for RBF Networks.
34708,Learning to represent codons: A challenge problem for constructive induction.
34961,Comparing methods for refining certainty-factor rule-bases.
34979,and P.M. Long. Apple tasting and nearly one-sided learning.
35061,Evolving networks: Using the genetic algorithm with connectionist learning.
35070,The RISE system: Conquering without separating.
35335,Parallel gradient distribution in unconstrained optimization.
35343,"""Serial and Parallel Backpropagation 18 References Convergence Via Nonmonotone Perturbed Minimization,"""
35490,A Model-Based Approach to Blame Assignment in Design.
35778,Context-specific independence in Bayesian networks.
35797,Proben1: A set of neural network benchmark problems and benchmarking rules.
35852,Generalization and scaling in reinforcement learning.
35854,"and P.M. Long. Characterizations of learnability for classes of f0; :::; ng-valued functions. To appear,"
35863,Learning functions in k-DNF from reinforcement.
35905,"Equivalence and reduction of hidden Markov models,"
35922,Mean field theory for sigmoid belief networks.
36131,Kanazawa Adaptive probabilistic networks.
36140,Error-correcting output codes: A general method for improving multiclass inductive learning programs.
36145,Generating accurate and diverse members of a neural-network ensemble.
